Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code,Borough_Area,Borough_Population,Borough_Population_Density,Borough_Housing_Area,Borough_Housing_Area_Per_Person,Latitude,Longitude,Borough_Housing_Price,Borough_Population_Housing_Price,Cluster_Labels
Савёловский,САО,Муниципальный округ,45277586,45344000,2.7,59287,21958,1120.0,19.2,55.7997689,37.5708333,200555,0.29561466929271274,0
Свиблово,СВАО,Муниципальный округ,45280580,45361000,4.41,62847,14251,956.1,15.9,55.8531049,37.6467906,207658,0.3026466594111472,0
Северное Измайлово,ВАО,Муниципальный округ,45263585,45313000,4.2,87614,20860,1624.3,19.1,55.8067811,37.8033479,154447,0.5672755055132181,0
Северное Медведково,СВАО,Муниципальный округ,45280583,45362000,5.66,127819,22582,1764.0,14.5,55.889663,37.6529265,160444,0.7966580239834459,1
Северное Тушино,СЗАО,Муниципальный округ,45283573,45369000,9.4,165762,17634,2665.5,17.4,55.8632245,37.4279373,165888,0.9992404513888888,1
Сокол,САО,Муниципальный округ,45277589,45345000,3.72,59507,15996,1163.5,20.2,55.8050063,37.5056244,218854,0.2719027296736637,0
Соколиная Гора,ВАО,Муниципальный округ,45263588,45314000,7.84,92126,11750,1422.0,16.3,55.7728247,37.73014420000001,190020,0.4848226502473424,0
Сокольники,ВАО,Муниципальный округ,45263591,45315000,10.28,61487,5981,1247.2,21.7,55.78881120000001,37.6802722,235135,0.2614965870670041,0
Строгино,СЗАО,Муниципальный округ,45283577,45370000,16.84,160791,9548,2406.2,15.8,55.8036918,37.4031404,200878,0.8004410637302243,1
Таганский,ЦАО,Муниципальный округ,45286580,45381000,8.01,123398,15405,2380.6,20.5,55.7415723,37.6670626,284020,0.43446940356312935,2
Тверской,ЦАО,Муниципальный округ,45286585,45382000,7.27,77864,10710,1253.3,16.4,55.7691461,37.6088355,386255,0.20158703447204568,2
Текстильщики,ЮВАО,Муниципальный округ,45290590,45395000,5.92,105267,17781,1638.7,16.3,55.7031811,37.7405918,151307,0.6957179773572935,0
Тёплый Стан,ЮЗАО,Муниципальный округ,45293586,45907000,7.5,134321,17909,2406.4,19.1,55.63180237920559,37.48118427058717,167524,0.8018015329146868,1
Тимирязевский,САО,Муниципальный округ,45277592,45346000,10.43,83712,8026,1836.2,22.2,55.8258166,37.5577439,192644,0.4345424721247482,0
Тропарёво-Никулино,ЗАО,Муниципальный округ,45268592,45327000,11.27,124167,11017,2895.2,24.4,55.663719365218924,37.481999662127706,225256,0.5512261604574351,1
Филёвский Парк,ЗАО,Муниципальный округ,45268595,45328000,9.62,94323,9804,1605.9,19.9,55.7470546,37.4921813,224957,0.41929346497330605,0
Фили-Давыдково,ЗАО,Муниципальный округ,45268597,45329000,6.96,115128,16541,2388.6,21.3,55.7288995,37.4673379,222529,0.5173617820598664,0
Хамовники,ЦАО,Муниципальный округ,45286590,45383000,10.08,109218,10835,2559.6,24.8,55.729229,37.5729484,425741,0.25653625091311383,2
Ховрино,САО,Муниципальный округ,45277595,45347000,5.73,89018,15535,2450.2,30.2,55.86935749999999,37.4887954,159745,0.5572506181727127,0
Хорошёво-Мнёвники,СЗАО,Муниципальный округ,45283582,45371000,17.18,173615,10105,2918.0,17.8,55.7787568,37.4800743,210645,0.8242066035272615,1
Хорошёвский,САО,Муниципальный округ,45277598,45348000,9.88,72676,7355,2182.0,38.2,55.7789309,37.5271723,260203,0.27930500416982124,0
Царицыно,ЮАО,Муниципальный округ,45296590,45923000,8.43,129138,15318,1836.9,14.9,55.62659420000001,37.6670226,125874,1.0259306925973593,1
Черёмушки,ЮЗАО,Муниципальный округ,45293590,45908000,5.52,110753,20063,1656.7,16.3,55.6635403,37.5610662,213025,0.5199061143058327,0
Чертаново Северное,ЮАО,Муниципальный округ,45296593,45924000,5.4,114548,21212,1899.5,17.2,55.6330775,37.6052365,180547,0.6344497554653359,0
Чертаново Центральное,ЮАО,Муниципальный округ,45296595,45925000,6.52,117092,17958,2907.0,26.0,55.6151581,37.6032734,160577,0.7291953393076219,1
Чертаново Южное,ЮАО,Муниципальный округ,45296597,45926000,9.38,151726,16175,2192.8,15.4,55.58983520000001,37.5957481,134332,1.1294851561802102,1
Щукино,СЗАО,Муниципальный округ,45283587,45372000,7.69,111203,14460,2062.0,20.1,55.8005723,37.47305520000001,233545,0.4761523475133272,0
Южное Медведково,СВАО,Муниципальный округ,45280594,45364000,3.88,85698,22087,1355.3,16.3,55.8748262,37.6338939,155965,0.5494694322444138,0
Южное Тушино,СЗАО,Муниципальный округ,45283593,45373000,7.94,109218,13755,1714.9,16.9,55.8438581,37.43154060000001,162854,0.6706497844695248,0
Южнопортовый,ЮВАО,Муниципальный округ,45290594,45396000,4.53,74729,16496,1449.0,20.6,55.71960350000001,37.67361870000001,190357,0.39257290249373533,0
Якиманка,ЦАО,Муниципальный округ,45286596,45384000,4.8,27672,5765,788.7,29.8,55.7383741,37.6169128,404471,0.06841528811707144,2
Ярославский,СВАО,Муниципальный округ,45280597,45365000,7.99,98108,12278,1404.5,15.3,55.86143199999999,37.6935724,159241,0.616097613051915,0
Ясенево,ЮЗАО,Муниципальный округ,45293598,45910000,25.37,177901,7012,2969.3,16.4,55.6062621,37.53374760000001,166852,1.0662203629563924,1
