Borough_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Кунцево,World Class,Gym / Fitness Center,"улица Ивана Франко, д.16, 121351",55.72826248028597,37.438367720300405
Кунцево,Атлас,Gym,"Ивана Франко 14, город Москва",55.72868700783915,37.44042581398972
Кунцево,World Class,Gym / Fitness Center,"улица Ярцевская, д.19 (Ярцевская ул., 19), 121552",55.73859127721825,37.411004499999926
Кунцево,EMS-FITNESS STUDIO,Gym / Fitness Center,Истринская 8/3,55.735533,37.432509
Нагатинский Затон,Прадна Фитнес,Gym / Fitness Center,Судостроительная 41,55.684925900972175,37.687304904601724
Нагатинский Затон,Треугольник Камней,Yoga Studio,"коломенская набережная, город Москва",55.683770296855535,37.70858925285716
Кунцево,Теннисный Центр В Жуковке,Gym,Россия,55.753292497109044,37.36929313512568
Нагатинский Затон,Power Pack Gym,Gym,город Москва,55.68823171286143,37.69548042205188
Люблино,Pole Dance Club,Gymnastics Gym,Краснодонская 19с2,55.68016833449118,37.75028352822361
Люблино,Стрелец,Gym,Россия,55.68019973063112,37.757694901822354
Люблино,Империя Фитнеса,Gym,"Спортивный Проезд, 5",55.68337493635821,37.7543807302325
Кузьминки,Спортивная площадка в ПКиО Кузьминки,Gym,ПКиО Кузьминки,55.69301855923647,37.76289975571552
Выхино-Жулебино,"Фитнес Клуб ""Спортленд""",Gym,Ул. Генерала Кузнецова,55.67845097240778,37.85329189739328
Выхино-Жулебино,Спортлэнд,Gym / Fitness Center,"БЦ «Жулебино» (Привольная ул., 70), город Москва",55.678539592116365,37.853619379531686
Кузьминки,Фитнес Лэнд,Gym / Fitness Center,"Волжский бул., 114/а",55.70665328357993,37.74755593950375
Кузьминки,"Фитнес клуб ""Да Винчи""",Gym / Fitness Center,"Кузьминский Парк, 109472",55.698659262461824,37.76748386694786
Кузьминки,СпортЛэнд,Gym / Fitness Center,"Волгоградский просп., 152, корп. 1 (ул. Академика Скрябина)",55.69944624318716,37.77966565943172
Выхино-Жулебино,С-Лакс,Gym / Fitness Center,"Привольная, 57/1",55.68318341315223,37.844746993237685
Кузьминки,СДЮСШОР № 64 / СК «Есенинский»,Martial Arts Dojo,"Есенинский бул., 9, корп. 2",55.70161086541703,37.780206560932214
Хорошёво-Мнёвники,Серебряный Бор Workout Station,Outdoor Gym,Россия,55.77839932258443,37.406483844228944
Выхино-Жулебино,Фитнес Клуб «Леон»,Gym / Fitness Center,"ул. Маршала Полубоярова, 9/68",55.688276315760156,37.864611616959365
Хорошёво-Мнёвники,FIT-N-GO,Gym,Россия,55.773547834815815,37.47225806137475
Хорошёво-Мнёвники,World Class LITE,Gym / Fitness Center,"улица Демьяна Бедного, д.4 корп. 2 (Карамышевская наб.), 123308",55.77006333635544,37.48982406836766
Выхино-Жулебино,WeGym,Gym / Fitness Center,"Ферганская ул., 6, корп. 2",55.70999355257428,37.802865772178784
Выхино-Жулебино,Турники,Outdoor Gym,"Пронская, 109145",55.70240952812662,37.84561625174752
