Cell_id,Cell_Latitude,Cell_Longitude,Venue_Id,Venue_Name,Venue_All_Categories,Venue_Latitude,Venue_Longitude,Venue_Location,Venue_Distance,Borough_Name,Venue_Category_Name,Venue_Category_Id
"55.71947850681885,37.416233208938735",55.719478506818845,37.416233208938735,4ddbe7a7b0fb2604df743b85,Империя фитнеса,"[('Gym', '4bf58dd8d48988d176941735')]",55.72130834029557,37.41893887920807,Гришина,265,Можайский,Gym,4bf58dd8d48988d176941735
"55.7160796831038,37.43388953789787",55.7160796831038,37.43388953789787,506f10d2e4b0e15bc4022cb2,Спорт Спорт Спорт,"[('Gym', '4bf58dd8d48988d176941735')]",55.71784975963261,37.434500475157684,Россия,200,Можайский,Gym,4bf58dd8d48988d176941735
"55.671676803467115,37.66307717091969",55.67167680346712,37.663077170919685,4e53586baeb74b745815956f,Фитнес ТАЙМ,"[('Gym', '4bf58dd8d48988d176941735')]",55.67310056167363,37.66414497661489,"Проспект Андропова, 37",172,Нагатинский Затон,Gym,4bf58dd8d48988d176941735
"55.65621246098447,37.7422618538556",55.65621246098447,37.7422618538556,5be01a7c2b9844002c6e2310,СпортЛэнд,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.65883,37.741654,"Люблинская ул., 153, 109382",293,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.65104695780418,37.768639619371314",55.65104695780418,37.768639619371314,588601a56d349d4a5efef6fa,Raketa Mari,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.64930890007224,37.77008436472853,"Поречная ул. 10, 109469",213,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.65104695780418,37.768639619371314",55.65104695780418,37.768639619371314,4c59a5276407d13a91b2b228,X-Fit,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.65223833896886,37.76729179279766,"Братиславская ул., 30",157,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.724643843882454,37.4144249440997",55.724643843882454,37.4144249440997,4de1e070d22d2a4ecdb957b3,X-Fit,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.72363885908271,37.411587770368904,"ул. Кутузова, 11, стр. 2",210,Можайский,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.71103435262309,37.48503780489707",55.71103435262309,37.48503780489707,4f72974ee4b043e3bbbe0495,Всплеск,"[('Gym', '4bf58dd8d48988d176941735')]",55.71103912157442,37.486192680442144,Веерная 12/1,72,Очаково-Матвеевское,Gym,4bf58dd8d48988d176941735
"55.673410540306065,37.6789104721161",55.67341054030607,37.6789104721161,52bef9a5498e8872303203a9,СпортЛэнд,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.675810895776884,37.6823056229312,"Кленовый бул., 23 (Коломенская ул.)",341,Нагатинский Затон,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.659657483008054,37.74929562327034",55.659657483008054,37.74929562327034,4ca9c4bdb0b8236a2020c0e6,Zebra Fitness,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.65929024291602,37.74855810270286,"ТЦ «БУМ» (ул. Перерва, 43, корп. 1)",61,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.65793567004727,37.75808948331751",55.65793567004727,37.75808948331751,5346406c498ede3f6155aea7,Тонус Клуб (Фитнес для женщин),"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.6583756378032,37.75977623584042,"ул. Братиславская, 18, к. 1",116,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.6562132618461,37.766882390771286",55.656213261846105,37.766882390771286,4f52406be4b006151458f45b,FRESH Fitness Club,"[('Gym', '4bf58dd8d48988d176941735')]",55.6557877382253,37.76220973301305,"Братиславская ул., 22",297,Марьино,Gym,4bf58dd8d48988d176941735
"55.73150767635553,37.40378419960372",55.731507676355534,37.40378419960372,4e64cf1945ddda352a935b00,Gym,"[('Gym', '4bf58dd8d48988d176941735')]",55.733787613979864,37.40596521416007,город Москва,288,Кунцево,Gym,4bf58dd8d48988d176941735
"55.729809220076966,37.4126163434996",55.72980922007697,37.4126163434996,5832da7bfbe8ff7800619859,GYMS.MOSCOW,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.732351806209095,37.41243668372253,Ул. партизанская 10,283,Кунцево,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.72300938507759,37.447935463579206",55.72300938507759,37.44793546357921,4c445c33f0bdd13a276bc9cc,N-Ergo,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.725848700397094,37.44635694629022,"Можайское ш., 2 (Рублёвское ш.), 121374",331,Можайский,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.66137960717099,37.76512484361995",55.66137960717099,37.76512484361995,5413ffbd498ec124d5c8a94f,Территория фитнеса,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.66203783941178,37.76452660560608,"Перервинский бул., 4, корп. 1",82,Марьино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.65965662512199,37.773918069718825",55.659656625122,37.77391806971883,517e192ae4b08d47114849f4,"Фитнес-клуб & салон красоты ""БиоАльянс""","[('Gym', '4bf58dd8d48988d176941735')]",55.65870283927085,37.77707856424567,"г. Москва, ул. Марьинский парк, д. 9, к. 2",225,Марьино,Gym,4bf58dd8d48988d176941735
"55.729875741270334,37.43730200923721",55.72987574127034,37.437302009237214,4beeadf7d355a59348240b60,World Class,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.72826248028597,37.438367720300405,"улица Ивана Франко, д.16, 121351",191,Кунцево,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.729875741270334,37.43730200923721",55.72987574127034,37.437302009237214,4d171da1b15cb1f71408b221,Атлас,"[('Gym', '4bf58dd8d48988d176941735')]",55.72868700783915,37.44042581398972,"Ивана Франко 14, город Москва",236,Кунцево,Gym,4bf58dd8d48988d176941735
"55.66482303300708,37.772161475683326",55.66482303300708,37.772161475683326,4f3e264ee4b04eeb4a16e397,Фитнес клуб Le Ton,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.6677336356063,37.77156127699777,"Верхние Поля, 43",326,Люблино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.74014008977413,37.40899813423358",55.74014008977413,37.40899813423358,53ecb211498e4d9f67ff2a78,World Class,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.73859127721825,37.411004499999926,"улица Ярцевская, д.19 (Ярцевская ул., 19), 121552",213,Кунцево,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.74014008977413,37.40899813423358",55.74014008977413,37.40899813423358,4eb422698b81a81f8ff99a00,Тренажерный Зал,"[('Gym', '4bf58dd8d48988d176941735')]",55.73838411868288,37.40791653385938,"Партизанская, 31 (Ярцевская)",206,Кунцево,Gym,4bf58dd8d48988d176941735
"55.685474485362775,37.69120832067893",55.685474485362775,37.69120832067893,4ed675446da11135034d59ae,Прадна Фитнес,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.684925900972175,37.687304904601724,Судостроительная 41,252,Нагатинский Затон,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.752095469455696,37.371838890225085",55.7520954694557,37.37183889022509,4eec52288b81bbbf5bd6a6c6,Теннисный Центр В Жуковке,"[('Gym', '4bf58dd8d48988d176941735')]",55.753292497109044,37.36929313512568,Россия,207,Кунцево,Gym,4bf58dd8d48988d176941735
"55.688922629484935,37.69824429400661",55.68892262948494,37.69824429400661,4e8720fe30f8e3ea6b91022a,Power Pack Gym,"[('Gym', '4bf58dd8d48988d176941735')]",55.68823171286143,37.69548042205188,город Москва,189,Нагатинский Затон,Gym,4bf58dd8d48988d176941735
"55.68204540089184,37.758091465747626",55.682045400891845,37.758091465747626,5075a3dfe4b0b3e998f6c9fd,Стрелец,"[('Gym', '4bf58dd8d48988d176941735')]",55.68019973063112,37.757694901822354,Россия,206,Люблино,Gym,4bf58dd8d48988d176941735
"55.690655691450594,37.763373724284534",55.690655691450594,37.76337372428453,4fdda494a17c802e89c44aea,Спортивная площадка в ПКиО Кузьминки,"[('Gym', '4bf58dd8d48988d176941735')]",55.69301855923647,37.76289975571552,ПКиО Кузьминки,264,Кузьминки,Gym,4bf58dd8d48988d176941735
"55.678561266881246,37.84958404693453",55.678561266881246,37.84958404693453,4f548125e4b036244c703301,"Фитнес Клуб ""Спортленд""","[('Gym', '4bf58dd8d48988d176941735')]",55.67845097240778,37.85329189739328,Ул. Генерала Кузнецова,233,Выхино-Жулебино,Gym,4bf58dd8d48988d176941735
"55.678561266881246,37.84958404693453",55.678561266881246,37.84958404693453,4ebd1eabb6341bd789129058,Спортлэнд,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.678539592116365,37.853619379531686,"БЦ «Жулебино» (Привольная ул., 70), город Москва",253,Выхино-Жулебино,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.69926563688626,37.76865884679556",55.69926563688625,37.76865884679556,54971016498ed521a2bb54e6,"Фитнес клуб ""Да Винчи""","[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.698659262461824,37.76748386694786,"Кузьминский Парк, 109472",99,Кузьминки,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.69754163434725,37.777460349280126",55.697541634347246,37.77746034928013,4c0dfaf55272d13a9d08df5b,СпортЛэнд,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.69944624318716,37.77966565943172,"Волгоградский просп., 152, корп. 1 (ул. Академика Скрябина)",253,Кузьминки,Gym / Fitness Center,4bf58dd8d48988d175941735
"55.68372817209963,37.847837954761545",55.68372817209963,37.847837954761545,4dcbd767fa76d745f05d1497,С-Лакс,"[('Gym / Fitness Center', '4bf58dd8d48988d175941735')]",55.68318341315223,37.844746993237685,"Привольная, 57/1",203,Выхино-Жулебино,Gym / Fitness Center,4bf58dd8d48988d175941735
